prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
香川,2009,10884,31.986803916123705,987336.0,-0.11818510353564957,13.80276568601591,3,-0.35455531060694867
高知,2009,9751,63.17883649415797,717480.0,2.239305083013082,13.48350035166295,3,6.717915249039246
鳥取,2009,5845,37.65155750378689,566052.0,0.3099563123442864,13.246441225756794,3,0.9298689370328592
鹿児島,2009,12837,34.11404146783006,1643437.0,0.04259126267452362,14.312300338525404,3,0.12777378802357087
三重,2010,23425,34.85373994116153,1824637.0,0.09849758707071035,14.416891621105094,4,0.3939903482828414
京,2010,42258,31.26978706868641,2555068.0,-0.17237715329049316,14.753589395747191,4,-0.6895086131619726
佐賀,2010,8138,27.415622237567113,828781.0,-0.46367448199050065,13.627711225514156,4,-1.8546979279620026
兵庫,2010,80860,33.43276950065225,5570618.0,-0.008899193196680871,15.533016557274834,4,-0.035596772786723484
千葉,2010,92325,7.7578900082776,6311190.0,-1.9494035926028013,15.657834806277036,4,-7.797614370411205
和歌山,2010,12125,46.4366610498149,964598.0,0.9739334143738684,13.779466713216559,4,3.8957336574954735
埼玉,2010,106228,12.19376327999905,7377288.0,-1.614140807765194,15.813916649364657,4,-6.456563231060776
大分,2010,8691,39.00662127000445,1160218.0,0.4123718738506981,13.964118476460206,4,1.6494874954027925
大阪,2010,182259,17.783744614549438,10725709.0,-1.1916506700601754,16.188154127819477,4,-4.766602680240702
奈良,2010,14444,35.50260287463157,1362781.0,0.14753857195183245,14.125038022787404,4,0.5901542878073298
宮城,2010,24614,20.37070067118007,2303098.0,-0.9961288328319627,14.64976573108895,4,-3.984515331327851
宮崎,2010,8750,50.01463976760754,1103755.0,1.244356628820509,13.914228560901371,4,4.977426515282036
富山,2010,7679,43.294721943217034,1063293.0,0.7364660229171697,13.876881254339034,4,2.9458640916686787
山口,2010,12360,38.18173809978662,1383079.0,0.35002729999284743,14.139822731213604,4,1.4001091999713897
山形,2010,7179,38.47504315257469,1095383.0,0.37219526169534867,13.906614631766379,4,1.4887810467813947
山梨,2010,7919,61.35151765963628,832769.0,2.1011965384896256,13.632511571766825,4,8.404786153958502
岐阜,2010,25017,34.803978168759436,2044114.0,0.09473659811272184,14.530475001744605,4,0.37894639245088735
岡山,2010,24097,34.5186564779249,1911722.0,0.07317201797613941,14.463514964532704,4,0.29268807190455765
岩手,2010,7400,37.59918131481275,1250142.0,0.3059977260865155,14.038767702826492,4,1.223990904346062
島根,2010,5116,42.33789124458688,686126.0,0.6641488702415322,13.438816563311503,4,2.656595480966129
広島,2010,28335,41.40092484685926,2838632.0,0.593333059112754,14.85883280394658,4,2.373332236451016
徳島,2010,7108,47.73623829676473,750519.0,1.072155311221455,13.528520246190894,4,4.28862124488582
愛媛,2010,16672,57.21635612050778,1381761.0,1.7886615113508608,14.138869330582946,4,7.154646045403443
愛知,2010,128173,10.883867203704943,15130618.0,-1.7131426005318728,16.532230930931686,4,-6.852570402127491
新潟,2010,21227,38.591502737018445,2259309.0,0.3809972635132434,14.630569572284342,4,1.5239890540529737
東京,2010,195970,16.955522243991485,27481464.0,-1.2542476202905202,17.129022299008525,4,-5.016990481162081
栃木,2010,23500,18.515072814739696,1976121.0,-1.136376969932374,14.49664639023299,4,-4.545507879729496
沖縄,2010,12887,17.74619335350651,1475800.0,-1.1944887899928782,14.204710773606402,4,-4.777955159971513
滋賀,2010,15501,21.63035830865412,1420080.0,-0.9009240554155826,14.166223766018685,4,-3.6036962216623305
熊本,2010,15309,35.4484955253761,1780079.0,0.14344914480178017,14.392168303305887,4,0.5737965792071207
